Year,st,State,Gini
1930,47,Virginia,0.429704666
1930,48,Washington,0.391783863
1930,49,West Virginia,0.436251819
1930,50,Wisconsin,0.478654891
1930,51,Wyoming,0.375541478
1931,0,United States,0.467733175
1931,1,Alabama,0.417724252
1931,3,Arizona,0.378817469
1931,4,Arkansas,0.383529574
1931,5,California,0.449270964
1931,6,Colorado,0.453947634
1931,7,Connecticut,0.495010763
1931,8,Delaware,0.639443755
1931,9,District of Columbia,0.427277327
1931,10,Florida,0.485888481
1931,11,Georgia,0.411168247
1931,13,Idaho,0.304296702
1931,14,Illinois,0.4613581
1931,15,Indiana,0.433605254
1931,16,Iowa,0.409677774
1931,17,Kansas,0.424451858
1931,18,Kentucky,0.421027333
1931,19,Louisiana,0.39898923
1931,20,Maine,0.472260147
1931,21,Maryland,0.485940039
1931,22,Massachusetts,0.481622636
1931,23,Michigan,0.48957482
1931,24,Minnesota,0.450203985
1931,25,Mississippi,0.381935507
1931,26,Missouri,0.459287912
1931,27,Montana,0.356681436
1931,28,Nebraska,0.411982775
1931,29,Nevada,0.438457221
1931,30,New Hampshire,0.448977977
1931,31,New Jersey,0.447465718
1931,32,New Mexico,0.378660589
1931,33,New York,0.501400888
1931,34,North Carolina,0.476923108
1931,35,North Dakota,0.363813847
1931,36,Ohio,0.44299081
1931,37,Oklahoma,0.437836736
1931,38,Oregon,0.368744314
1931,39,Pennsylvania,0.486059457
1931,40,Rhode Island,0.498642027
1931,41,South Carolina,0.397467911
1931,42,South Dakota,0.389030069
1931,43,Tennessee,0.425308079
1931,44,Texas,0.424537718
1931,45,Utah,0.414467245
1931,46,Vermont,0.396111459
1931,47,Virginia,0.419136196
1931,48,Washington,0.36463505
1931,49,West Virginia,0.405685425
1931,50,Wisconsin,0.457310528
1931,51,Wyoming,0.354122788
1932,0,United States,0.446670413
1932,1,Alabama,0.386168063
1932,3,Arizona,0.338846326
1932,4,Arkansas,0.351684511
1932,5,California,0.422822654
1932,6,Colorado,0.423714221
1932,7,Connecticut,0.483156472
1932,8,Delaware,0.636892319
1932,9,District of Columbia,0.378682911
1932,10,Florida,0.448322415
1932,11,Georgia,0.406049579
1932,13,Idaho,0.298664182
1932,14,Illinois,0.444494367
1932,15,Indiana,0.400991946
1932,16,Iowa,0.356178254
1932,17,Kansas,0.408228636
1932,18,Kentucky,0.413024783
1932,19,Louisiana,0.387531489
1932,20,Maine,0.452249885
1932,21,Maryland,0.451447934
1932,22,Massachusetts,0.452870578
